ID,Band Gap (eV),Gap Type,Energy Above Hull (eV/atom)
mp-555012,1.2950,Indirect,0.0512
mp-555844,0.0000,Metal,0.0066
mp-556087,1.2595,Indirect,0.0445
mp-557049,1.6373,Indirect,0.0075
mp-557029,1.5036,Indirect,0.4396
mp-556910,2.6328,Indirect,0.0000
mp-558130,0.8540,Indirect,0.0000
mp-558844,4.0556,Direct,0.2845
mp-558849,1.9160,Indirect,0.0120
mp-559779,2.6289,Indirect,0.0000
mp-561469,1.2529,Indirect,0.0283
mp-556856,4.1666,Indirect,0.0139
mp-677013,4.1483,Indirect,0.0006
mp-1202298,0.0626,Direct,0.6025
mp-558745,0.1333,Indirect,0.0000
mp-553977,0.1226,Indirect,0.0000
mp-1194731,2.5537,Direct,0.0000
mp-1203697,1.8362,Direct,0.0018
mp-1212759,3.0664,Indirect,0.0350
mp-1215161,0.0000,Metal,0.8550
mp-23146,4.3633,Indirect,0.0000
mp-559540,4.5467,Indirect,0.0000
mp-644221,2.3655,Direct,0.3223
mp-679669,1.9293,Indirect,0.0767
mp-1202430,5.3509,Direct,0.0022
mp-1215129,0.0000,Metal,0.6902
mp-1197298,2.2937,Indirect,0.0000
mp-1220698,1.1212,Indirect,0.0918
mp-2240378,0.3029,Indirect,0.2359
mp-1201802,1.8421,Indirect,0.0058
mp-1211928,0.0000,Metal,0.2466
mp-726331,0.5571,Direct,0.5777
mp-532767,0.0000,Metal,0.0873
mp-555092,2.7764,Direct,0.1616
mp-23150,2.7134,Indirect,0.3042
mp-561299,1.8290,Indirect,0.0106
mp-555595,0.0000,Metal,0.0125
mp-1224128,0.8936,Indirect,0.5463
mp-1223492,4.2515,Indirect,0.0000
mp-42091,3.9145,Indirect,0.0056
mp-554279,2.7629,Indirect,0.0000
mp-560324,2.4564,Indirect,0.0000
mp-1097034,2.3724,Indirect,0.0355
mp-1040451,2.3936,Indirect,0.0353
mp-1097035,2.3076,Indirect,0.0305
mp-720300,3.6373,Direct,0.0494
mp-1192535,0.0000,Metal,0.9407
